#Name	ddG	resid_time
ASEM	0	43.38
KI-n84	-0.18	40.37
KI-n85	-0.28	75.63
KI-n87	-1.72	87.27
KI-n89	-1.13	14.42
A2	-1.59	57.51
C3	-2.20	71.76
