Code	Year1	Year2	Year3	Slope	Sharp	STD
'163411'	 25.83	  5.05	  1.88	  0.07	  2.19	  0.85
'163412'	 21.66	 -0.26	 17.20	  0.25	  3.53	  1.92
'165312'	 29.09	 24.41	-16.88	  0.10	  0.82	  2.22
'166006'	 20.77	 16.43	-22.62	  0.06	  3.13	  1.88
'166301'	 20.50	  8.75	 -6.08	  0.11	  5.02	  1.62
'180012'	 24.45	 21.18	 -5.97	  0.18	  6.44	  1.66
'200008'	 22.64	 19.76	-28.44	  0.06	  4.79	  1.62
'200012'	 21.78	 20.64	-26.27	  0.05	  3.07	  1.94
'202023'	 20.03	 12.40	  0.75	  0.14	  6.12	  1.32
'206002'	 23.79	-11.27	-24.42	  0.01	  2.72	  1.65
'206007'	 36.30	 21.46	-29.19	  0.11	  5.38	  1.87
'217027'	 27.20	 26.00	-21.22	  0.10	  4.82	  1.55
'240019'	 21.04	 12.42	-26.08	  0.06	  3.93	  1.47
'240020'	 23.19	 10.74	-21.39	  0.04	  2.82	  1.78
'241001'	 29.11	 27.82	-28.06	  0.05	  2.03	  1.41
'260108'	 20.88	  9.07	 -7.15	  0.07	  4.17	  1.85
'260110'	 24.49	 18.12	-31.62	  0.05	  1.90	  1.91
'260116'	 25.83	 23.05	-27.28	  0.14	  4.88	  1.73
'262001'	 22.72	 26.24	-17.18	  0.04	  1.65	  0.93
'270041'	 29.10	 19.28	 -4.97	  0.14	  5.43	  1.49
'270050'	 22.26	 13.01	-32.61	  0.05	  2.65	  1.86
'310388'	 28.31	 11.68	-35.67	  0.04	  2.60	  1.83
'320010'	 20.04	 19.89	-29.97	  0.05	  4.45	  1.53
'320012'	 23.30	  9.72	-25.16	  0.05	  3.59	  1.59
'340007'	 21.30	 18.18	-16.48	  0.20	  4.70	  1.90
'350005'	 24.81	  4.49	-30.77	  0.05	  2.79	  1.89
'370023'	 20.00	  8.98	-24.49	  0.04	  2.86	  1.55
'370024'	 23.67	  3.67	-30.02	  0.10	  3.64	  2.08
'377240'	 25.50	  5.26	-25.11	  0.12	  3.43	  2.08
'378006'	 22.21	 23.89	-29.92	  0.01	 -0.13	  1.30
'399011'	 35.08	  7.96	-11.75	  0.08	  3.53	  1.87
'400025'	 30.54	 12.44	-26.66	  0.03	  3.01	  1.81
'410008'	 20.58	 17.62	-29.95	  0.05	  4.32	  1.52
'457001'	 24.11	 26.37	-34.29	  0.00	 -0.84	  1.44
'460007'	 21.48	  3.59	-30.01	  0.04	  3.17	  2.06
'470006'	 21.11	 -0.19	-26.31	  0.01	  1.54	  1.91
'470008'	 21.32	  3.68	-30.19	  0.04	  2.97	  2.18
'470009'	 20.76	  3.80	-24.62	  0.14	  4.97	  1.85
'470888'	 20.98	 20.64	-29.22	  0.02	  0.17	  1.16
'481012'	 21.75	 17.09	-17.52	  0.07	  3.99	  1.70
'510280'	 22.66	 13.50	-26.95	  0.06	  4.05	  1.56
'510630'	 49.30	 19.88	-15.35	  0.12	  5.74	  1.65
'510660'	 36.93	 20.60	-19.85	  0.07	  4.57	  1.67
'512010'	 40.37	 30.64	-14.29	  0.08	  5.31	  1.63
'512120'	 31.12	 16.67	-20.00	  0.05	  3.98	  1.65
'512600'	 46.64	 20.28	-13.23	  0.12	  5.39	  1.65
'512610'	 27.35	 10.77	-22.91	  0.03	  3.49	  1.64
'519056'	 35.29	  2.52	-55.90	 -0.02	  1.33	  2.08
